ID_Lands	ColorType	SellPrice	Costestimate	CostestimateB	MarketPrice	PriceWA	LandR	LandG	LandWA	Deed	RoadType	RoadWide	GroundLevel	GroundValue	AsseStatus	LProvince	LAmphur	LDistrict	LZipCode	ContactS	Blind	Neareducation	Cenmarket	Market	River	Mainroad	Insoi	LandAge	PPStatus	Owner	UserType
l0075	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	7000000	8000000	8000000	7500000	10000	1	3	0	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	1	ว่าง	เชียงใหม่	แม่ริม	โป่งแยง	50180	เจ้าของ	0	0	1	1	0	1	0	5	ยังไม่ขาย	59	ระยะสั้น
l5977	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	6990000	7000000	7000000	8000000	550.52375	31	2	97	น.ส.3	โคลน	2 เมตร	สูงกว่าถนน	0.1	ว่าง	เพชรบูรณ์	ศรีเทพ	โคกสะอาด	67170	เจ้าของ	1	0	0	0	0	0	1	30	ยังไม่ขาย	59	ระยะสั้น
l2366	พื้นที่สีขาวมีกรอบและเส้นทะแยงสีเขียว – ที่ดินประเภทอนุรักษ์ชนบทและเกษตรกรรม	6270000	5900000	6000000	6500000	2374.10072	6	2	41	น.ส.3	โคลน	4 เมตร	ต่ำกว่าถนน	0.1	ว่าง	ระยอง	บ้านค่าย	บ้านค่าย	21120	นายหน้า	0	0	1	1	1	0	1	9	ยังไม่ขาย	59	ระยะยาว
l8101	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	5400000	4900000	4800000	5000000	27551.02041	0	0	196	น.ส.2	ยางมะตอย	8 เมตร			จำนอง	ลำปาง	เมืองลำปาง	บ้านแลง	52000	นายหน้า	0	1	1	0	0	1	0	2	ยังไม่ขาย	63	ระยะยาว
l8735	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	5000000	5500000	5500000	5000000	25000	0	1	100	น.ส.4จ.	คอนกรีต	4 เมตร	ต่ำกว่าถนน	0.3	ว่าง	ปทุมธานี	ลำลูกกา	คูคต	12130	นายหน้า	0	0	1	1	0	0	1	5	ยังไม่ขาย	59	ระยะสั้น
l5955	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	4900000	5000000	5000000	5000000	2747	446	2	86.84	ส.ค.1	ลูกรัง	2 เมตร	ต่ำกว่าถนน	0.3	ว่าง	เชียงราย	แม่สาย	แม่สาย	57130	นายหน้า	0	0	0	1	0	0	0	2		39	ระยะสั้น
l7743	พื้นที่สีแดง – ที่ดินประเภทพาณิชยกรรม	4900000	5000000	5000000	4500000	33561.64384	0	1	46	น.ส.4จ.	ยางมะตอย	12 เมตร	ต่ำกว่าถนน	0.2	ว่าง	อุบลราชธานี	วารินชำราบ	ธาตุ	34190	นายหน้า	0	0	0	0	0	1	0	3	ยังไม่ขาย	59	ระยะสั้น
l6101	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	4500000	4400000	4450000	4600000	84906	132	4	53.09	ส.ค.1	โคลน	4 เมตร	สูงกว่าถนน	0.2	ว่าง	เชียงราย	แม่จัน	แม่จัน	57110	นายหน้า	0	0	0	0	0	0	1	4		39	ระยะยาว
l8483	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	4500000	4200000	4000000	3500000	5521.47239	2	0	15	ส.ค.1	โคลน	4 เมตร	สูงกว่าถนน	0.2	ว่าง	เชียงราย	เมืองเชียงราย	ดอยฮาง	57000	นายหน้า	0	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะยาว
l3275	พื้นที่สีน้ำตาล – ที่ดินประเภทที่อยู่อาศัยหนาแน่นมาก	4400000	4000000	4000000	5000000	16479.40075	0	2	67	ส.ค.1	ยางมะตอย	8 เมตร	ต่ำกว่าถนน	0.1	ว่าง	อุบลราชธานี	เมืองอุบลราชธานี	ขามใหญ่	34000	นายหน้า	1	0	0	0	0	0	1	3	ยังไม่ขาย	59	ระยะยาว
l0651	พื้นที่สีเขียว – ที่ดินประเภทชนบทและเกษตรกรรม	4300000	5000000	4500000	4500000	9780	0	0	409	น.ส.2	ยางมะตอย		ต่ำกว่าถนน	0.3	ว่าง	เชียงราย	เมืองเชียงราย	ริมกก	57100	นายหน้า	0	0	0	0	0	1	0	3		39	ระยะสั้น
l3697	พื้นที่สีส้ม – ที่ดินประเภทที่อยู่อาศัยหนาแน่นปานกลาง	4200000	5000000	4500000	4500000	10500	1	4	40	น.ส.3ก.	ยางมะตอย	2 เมตร	สูงกว่าถนน	0.4	ฝากขาย	เชียงราย	แม่ลาว	ดงมะดะ	57250	นายหน้า	0	0	0	0	0	1	0	3		39	ระยะสั้น
l4930	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	4200000	4000000	5000000	4000000	42000	0	3	100	น.ส.4จ.	คอนกรีต	8 เมตร	สูงกว่าถนน	0.2	จำนอง	เชียงราย	แม่ลาว	ดงมะดะ	57250	นายหน้า	0	0	0	0	0	1	0	10		48	ระยะยาว
l7866	พื้นที่สีเม็ดมะปราง – ที่ดินประเภทคลังสินค้า	3900000	4100000	4000000	3500000	9750	0	3	100	น.ส.3ก.	คอนกรีต	12 เมตร	สูงกว่าถนน	0.1	จำนอง	เชียงราย	แม่ลาว	ดงมะดะ	57250	นายหน้า	0	0	0	0	0	1	0	25	ยังไม่ขาย	59	ระยะสั้น
l9213	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	3720000	3720000	3720000	3720000	13191.48936	0	2	82	น.ส.3	คอนกรีต	8 เมตร	สูงกว่าถนน	0.12	ว่าง	สมุทรปราการ	บางพลี	ราชาเทวะ	10540	เจ้าของ	0	0	0	0	0	1	0	20	ยังไม่ขาย	38	ระยะยาว
l0728	พื้นที่สีเหลือง – ที่ดินประเภทที่อยู่อาศัยหนาแน่นน้อย	3700000	3500000	3500000	3900000	60000	0	0	50	น.ส.2	โคลน	2 เมตร	สูงกว่าถนน	0.1	ว่าง	ตาก	อุ้มผาง	อุ้มผาง	63170	นายหน้า	1	0	0	0	1	0	0	10	ยังไม่ขาย	59	ระยะยาว
l0316	พื้นที่สีม่วง – ที่ดินประเภทอุตสาหกรรมและคลังสินค้า	3600000	3200000	3000000	3400000	750	12	0	0	น.ส.4จ.	ยางมะตอย	4 เมตร	ต่ำกว่าถนน	0.4	ว่าง	ลพบุรี	เมืองลพบุรี	โคกตูม	15210	นายหน้า	0	0	0	0	0	1	0		ยังไม่ขาย	30	ระยะยาว
