SellPrice,CostestimateB,MarketPrice,BathRoom,BedRoom,CarPark,BuildFY,Blind,Neareducation,Cenmarket,Market,River,Mainroad,Insoi,airconditioner,afan,AirPurifier,Waterheater,WIFI,TV,refrigerator,microwave,gasstove,wardrobe,TCset,sofa,bed,shelves,CCTV,Securityguard,pool,Fitness,Publicarea,ShuttleBus,WVmachine,CWmachine,Elevator,Lobby,ATM,BeautySalon,Balcony,EventR,MeetingR,LivingR,Hairsalon,Laundry,Store,Supermarket,CStore,Kitchen,ID_Property_n,PropertyType_n,AsseStatus_n,UserType_n,HouseArea_n,Floor_n
1000000,1500000,1700000,1,2,1,2552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,2,1,17,1
1000000,1400000,2000000,2,2,2,2562,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,3,1,8,1
2000000,2400000,1800000,3,3,1,2558,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,2,1,37,1
4900000,5000000,5200000,4,3,1,2540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,3,1,18,7
5175000,5000000,5500000,2,3,2,2552,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,90,2,2,1,31,7
1180000,116000,11160000,1,1,1,2553,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,46,9
2451400,2500000,2400000,1,1,0,2561,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,2,0,3,0,0,10
3825000,3900000,3850000,2,2,0,2551,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,3,0,1,0,48,11
4017000,3000000,4000000,2,2,2,2550,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,4,0,3,0,33,5
1490000,1500000,1600000,1,1,1,2559,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,5,0,3,0,30,11
1750000,1800000,1800000,1,1,1,2558,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,6,0,3,0,30,9
1799000,1600000,1680000,2,3,2,2550,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,7,0,3,0,4,8
4077000,3500000,4100000,2,2,0,2551,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,9,0,0,0,41,7
1050000,1140000,1130000,1,1,1,2544,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,10,0,3,0,39,9
118000,120000,115000,1,2,1,2551,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,0,3,0,3,6
1900000,2000000,1950000,1,1,1,2550,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,30,9
