PropertyType_n,SellPrice,CostestimateB,MarketPrice,HouseArea,Floor,HomeCondition_n,BuildingAge,RoadType_n,AsseStatus_n,UserType_n
1,3000000,2700000,0,170.0,2,3,7,1,2,0
1,2000000,1800000,0,130.0,2,3,7,1,2,0
1,2390000,2151000,0,144.0,3,3,5,1,2,0
1,2190000,1971000,0,96.0,2,3,5,1,2,0
1,2290000,2061000,0,120.0,2,3,6,1,2,0
1,2400000,2160000,0,205.0,3,3,5,1,2,0
1,2600000,2340000,0,115.0,2,3,5,1,2,0
0,2990000,2691000,0,25.0,36,3,2,1,2,0
1,19000000,17100000,0,236.0,2,3,8,1,2,0
1,13900000,12510000,0,197.0,2,3,8,1,2,0
1,13900000,12510000,0,197.0,2,3,8,1,2,0
0,8190000,7371000,0,55.0,27,3,5,1,2,0
0,4540000,4086000,0,31.0,27,3,5,1,2,0
0,4070000,3663000,0,28.35,27,3,5,1,2,0
0,5500000,4950000,0,43.0,8,3,4,1,2,0
0,4090000,3681000,0,28.0,8,3,4,1,2,0
0,2890000,2601000,0,28.0,8,3,0,1,2,0
0,2250000,2025000,0,25.0,8,3,1,1,2,0
0,2260000,2034000,0,29.0,8,3,5,3,2,0
0,1700000,1530000,0,21.0,8,3,5,3,2,0
0,4200000,3780000,0,35.0,8,3,2,1,2,0
0,3400000,3060000,0,28.0,8,3,2,1,2,0
0,3190000,2871000,0,25.0,8,3,2,1,2,0
0,1020000,9180000,0,75.0,37,3,3,1,2,0
0,8500000,7650000,0,54.0,37,3,3,1,2,0
0,5190000,4671000,0,35.0,37,3,3,1,2,0
0,4590000,4131000,0,29.0,46,3,3,1,2,0
0,3300000,2970000,0,46.0,8,3,2,1,2,0
0,2490000,2241000,0,34.0,8,3,2,1,2,0
0,2140000,1926000,0,30.0,8,3,2,1,2,0
0,1690000,1521000,0,24.0,8,3,2,1,2,0
0,8800000,7920000,0,48.0,37,3,2,1,2,0
0,5700000,5130000,0,32.0,37,3,2,1,2,0
0,3490000,3141000,0,24.0,37,3,2,1,2,0
2,1800000,1620000,0,0.0,4,2,11,3,2,0
2,5800000,5220000,0,220.62,5,2,9,3,2,0
2,70000000,63000000,0,81.0,4,2,8,3,2,0
2,7600000,6840000,0,0.0,4,2,10,1,2,0
0,69000000,62100000,0,250.0,60,3,8,3,2,0
0,65000000,58500000,0,290.0,60,3,8,3,2,0
0,3597000,3700000,3650000,28.0,5,2,13,1,3,0
0,14159000,12743100,0,72.0,60,3,8,3,2,0
0,1890000,1701000,0,25.6,8,3,2,1,2,0
0,1790000,1611000,0,24.0,8,3,3,1,2,0
1,3455000,3109500,0,130.0,2,3,7,1,2,0
1,3122000,2809800,0,117.0,2,3,7,1,2,0
1,2930000,2637000,0,105.0,2,3,7,1,2,0
1,1990000,1990000,0,120.0,1,3,1,1,2,0
1,1850000,1665000,0,120.0,1,3,0,1,2,0
1,2490000,2790000,0,0.0,1,3,0,1,2,0
1,6590000,5931000,0,266.0,2,3,5,1,2,0
1,5280000,4752000,0,190.0,2,3,5,1,2,0
1,4400000,3960000,0,155.0,2,3,5,1,2,0
0,3300000,2970000,0,50.0,8,3,8,1,2,0
0,2060000,1854000,0,37.0,8,3,8,1,2,0
0,1500000,1350000,0,29.0,8,3,8,1,2,0
0,1350000,1215000,0,25.0,8,3,8,1,2,0
1,1880000,1692000,0,139.0,2,3,7,1,2,0
1,988000,889200,0,76.0,1,3,7,1,2,0
1,2690000,2421000,0,135.0,2,3,5,1,2,0
1,1700000,1530000,0,125.0,2,3,5,1,2,0
1,3934000,3540600,0,171.0,2,3,5,1,2,0
1,3450000,3105000,0,137.0,2,3,5,1,2,0
1,5500000,2508000,4000000,100.0,2,3,2,1,3,0
1,2890000,2601000,0,130.0,2,3,5,1,2,0
1,3400000,3060000,0,129.0,2,3,6,1,2,0
1,2580000,2322000,0,98.0,1,3,6,1,2,0
1,2980000,2682000,0,172.0,3,3,2,1,2,0
2,4590000,4131000,0,18.5,3,3,2,1,2,0
1,4200000,3780000,0,13.7,2,3,7,1,2,0
0,1490000,1341000,0,23.0,8,3,2,3,2,0
0,3300000,2970000,0,70.0,7,3,7,3,2,0
0,1300000,1170000,0,35.0,7,3,7,3,2,0
1,2290000,2290000,0,120.0,1,3,0,1,2,0
1,1900000,0,0,87.0,1,2,3,1,2,0
1,690000,0,0,0.0,1,2,7,3,2,0
1,1790000,0,0,80.0,1,3,0,1,2,0
1,1890000,1700000,0,74.0,2,3,0,1,2,0
1,1950000,1950000,0,96.0,2,3,0,1,2,0
1,2700000,2700000,0,117.0,2,3,0,1,2,0
1,2400000,2400000,0,103.0,2,3,0,1,2,0
